time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0118422484975,0.00935152727657,10.0186573,0.493671537285,0.451605519185,0.0,-0.644091223589,0.475325117337,0.425474255301,-10.8302085217,-10.8185011789,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.12000000000000001,-0.0508494347221,0.0403645890882,10.0549678154,5.47375966614,5.38958370192,0.0,-0.639901941436,0.325726817649,0.812040601664,-19.3009854966,-19.2742833115,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.18,-0.0857540431314,0.0554987753321,10.1030217378,2.33697791999,2.26567248829,0.0,-1.09182174618,0.251639171978,0.674344980174,-24.3780365926,-24.3580603295,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.23999999999999996,-0.184313046708,0.05042236535,10.1460096972,1.92465157056,1.86088545949,0.0,-2.20866892922,-0.415736419239,0.730591157576,-26.9043636646,-26.8918673751,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.3,-0.358192969377,0.0232112840194,10.1761463361,0.505283745609,0.44415572462,0.0,-3.54301727909,-0.249027245212,0.337503531866,-28.0289210077,-28.0215327021,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.36000000000000004,-0.577324250045,0.0161528140576,10.2156121996,5.13502458426,5.07592292931,0.0,-3.42806516659,-0.270841811514,0.940271913826,-28.5034727833,-28.5070073227,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.4200000000000001,-0.743120533659,-0.00251588527255,10.2604861094,3.42690405186,3.36790680707,0.0,-2.16428638841,-0.077096488664,0.655715843171,-28.6995071866,-28.7098671525,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.48000000000000015,-0.876157712417,-0.00656943039109,10.3199543387,1.70413086428,1.64456832561,0.0,-2.60066983187,-0.294568243022,1.14981949531,-28.7736089939,-28.7966356722,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.5400000000000001,-1.07110283552,-0.0175384788957,10.3781176457,6.26031574116,6.1993152769,0.0,-3.73211331563,0.10049108304,1.02567725058,-28.8055791833,-28.8333737961,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.6000000000000002,-1.27999261126,-0.0200772620676,10.4564748789,4.53150744884,4.46899320761,0.0,-2.95242930124,-0.27511853201,1.30250510684,-28.8296706711,-28.8484121936,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.6600000000000003,-1.42299584791,-0.0220511159714,10.5299165902,2.80142298102,2.73793585929,0.0,-2.06709418883,0.208488508507,1.44294014935,-28.8438873826,-28.8551283738,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.7200000000000003,-1.57330012056,-0.0233925428589,10.6247527109,1.07076747895,1.00653286941,0.0,-3.13736796205,-0.158387579509,1.43953187409,-28.8448249495,-28.8592384265,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.7800000000000004,-1.7872290203,-0.0159158821295,10.7159377461,5.62351622817,5.5582561239,0.0,-3.68054058352,0.231755599231,1.83807706054,-28.8349617529,-28.8554838176,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.8400000000000004,-1.97379478371,-0.015519327343,10.8245994742,3.89340004638,3.82693726168,0.0,-2.44460485435,0.0260721691859,1.6132008934,-28.8357391191,-28.8550599,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.9000000000000005,-2.10546495279,-0.000285733780699,10.9356128144,2.16326338737,2.0956326055,0.0,-2.29625930367,0.199031261438,2.16877728146,-28.8354182702,-28.855104342,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
0.9600000000000005,-2.2822965026,0.00482553398857,11.056430298,0.433300424121,0.364293412658,0.0,-3.57799653954,0.261999673709,1.86796475163,-28.8289448443,-28.8564960622,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
1.0200000000000005,-2.49938809007,0.0255543627623,11.1877059871,4.98875844258,4.91612837362,0.0,-3.31703251696,0.152666172661,2.411044961,-28.7702641988,-28.8548669425,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
1.0800000000000005,-2.65870858219,0.0375540329116,11.3204179127,3.26188149017,3.18504224302,0.0,-2.11432750452,0.478907662756,2.19789483392,-28.8089837684,-28.8467420126,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
1.1400000000000006,-2.7960231613,0.061937798656,11.4708141855,1.53301322579,1.45441862647,0.0,-2.76528252698,0.174039818018,2.57093121429,-28.8245434374,-28.8395556727,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
1.2000000000000006,-2.99803657039,0.0842112597565,11.6171230848,6.08832901011,6.00739109713,0.0,-3.74804827095,0.643511858161,2.58252811055,-28.7753302548,-28.8331446449,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
1.2600000000000007,-3.20121950725,0.11080709509,11.7843692362,4.36208792559,4.27737297685,0.0,-2.79336738764,0.259414738317,2.69394650904,-28.7645264294,-28.8343876456,0.0,466.36336851901734,467.0811545929468,465.60821811431435,464.5439579291996
